scientific_name,park_name,observations,category,common_names,conservation_status
vicia benghalensis,great smoky mountains national park,68,vascular plant,"purple vetch, reddish tufted vetch",
neovison vison,great smoky mountains national park,77,mammal,american mink,
prunus subcordata,yosemite national park,138,vascular plant,klamath plum,
abutilon theophrasti,bryce national park,84,vascular plant,velvetleaf,
githopsis specularioides,great smoky mountains national park,85,vascular plant,common bluecup,
elymus virginicus var. virginicus,yosemite national park,112,vascular plant,virginia wildrye,
spizella pusilla,yellowstone national park,228,bird,field sparrow,
elymus multisetus,great smoky mountains national park,39,vascular plant,"big squirreltail, big wild rye",
lysimachia quadrifolia,yosemite national park,168,vascular plant,whorled loosestrife,
diphyscium cumberlandianum,yellowstone national park,250,nonvascular plant,cumberland diphyscium moss,
ludwigia peploides ssp. glabrescens,bryce national park,103,vascular plant,floating primrosewillow,
cistothorus platensis,bryce national park,114,bird,sedge wren,
setaria viridis var. viridis,bryce national park,101,vascular plant,green bristlegrass,
arabis davidsonii,yellowstone national park,279,vascular plant,davidson's rockcress,
fabronia ciliaris,great smoky mountains national park,72,nonvascular plant,fabronia moss,
lunaria annua,great smoky mountains national park,65,vascular plant,"annual honesty, moneyplant",
lunaria annua,great smoky mountains national park,65,vascular plant,annual honesty,
quercus bicolor,yosemite national park,143,vascular plant,swamp white oak,
muhlenbergia rigens,yosemite national park,165,vascular plant,"deer muhly, deergrass",
rubus idaeus ssp. strigosus,yosemite national park,150,vascular plant,american red raspberry,
polymnia canadensis,great smoky mountains national park,80,vascular plant,"leaf-cup, white-flower leafcup",
carduus nutans,bryce national park,83,vascular plant,musk thistle,
ptilium crista-castrensis,bryce national park,109,nonvascular plant,knights plume moss,
elodea nuttallii,yosemite national park,158,vascular plant,western waterweed,
elodea nuttallii,yosemite national park,158,vascular plant,waterweed,
larus philadelphia,yosemite national park,167,bird,bonaparte's gull,
zizia trifoliata,yosemite national park,135,vascular plant,"meadow alexanders, three-leaved golden alexanders",species of concern
amaranthus retroflexus,yellowstone national park,247,vascular plant,"green amaranthus, red-root amaranth",
amaranthus retroflexus,yellowstone national park,247,vascular plant,"careless weed, redroot amaranth, red-root amaranth, redroot pigweed, rough pigweed",
geranium thunbergii,yosemite national park,150,vascular plant,thunberg's geranium,
scirpus cyperinus,great smoky mountains national park,73,vascular plant,"bulrush, cottongrass bulrush",
scirpus cyperinus,great smoky mountains national park,73,vascular plant,"bulrush, woolgrass",
viola glabella,yellowstone national park,261,vascular plant,pioneer violet,
scaphiopus holbrookii holbrookii,yosemite national park,177,amphibian,eastern spadefoot,
glyceria striata,yosemite national park,117,vascular plant,"fowl manna-grass, striate mannagrass",
glyceria striata,yosemite national park,117,vascular plant,"fowl manna grass, fowl mannagrass",
veronica cusickii,bryce national park,84,vascular plant,cusick's speedwell,
festuca filiformis,great smoky mountains national park,79,vascular plant,fineleaf sheep fescue,
rosa pinetorum,bryce national park,96,vascular plant,pine rose,
lysimachia nummularia,yosemite national park,140,vascular plant,"creeping jennie, moneywort",
sclerolinon digynum,bryce national park,116,vascular plant,"digynum flax, northwestern yellowflax",
camissonia sierrae ssp. alticola,bryce national park,84,vascular plant,"mono hot springs evening primrose, mono hot springs evening-primrose",species of concern
festuca idahoensis,yellowstone national park,239,vascular plant,idaho fescue,
doellingeria infirma,yellowstone national park,262,vascular plant,cornel-leaf whitetop,
viola macloskeyi ssp. pallens,great smoky mountains national park,71,vascular plant,"northern white violet, smooth white violet",
cirsium arvense,great smoky mountains national park,85,vascular plant,"crepping thistle, canada thistle",
cirsium arvense,great smoky mountains national park,85,vascular plant,canada thistle,
elaeagnus umbellata,yosemite national park,176,vascular plant,autumn olive,
cornus alternifolia,yosemite national park,148,vascular plant,"alternate-leaf dogwood, alternate-leaved dogwood",
portulaca oleracea,great smoky mountains national park,76,vascular plant,common purslane,
portulaca oleracea,great smoky mountains national park,76,vascular plant,"akulikuli-kula, common purslane, duckweed, garden purslane, little hogweed, little-hogweed, purslane, pursley, wild portulaca",
elaeagnus umbellata,great smoky mountains national park,85,vascular plant,autumn olive,
solidago missouriensis var. missouriensis,bryce national park,112,vascular plant,missouri goldenrod,
silene parryi,great smoky mountains national park,68,vascular plant,parry's silene,
itea virginica,yellowstone national park,235,vascular plant,"sweet-spire, tasselwhite, virginia willow",
ammoselinum butleri,yellowstone national park,283,vascular plant,butler's sandparsley,
platycladus orientalis,great smoky mountains national park,25,vascular plant,oriental white cedar,
limnanthes alba ssp. versicolor,yellowstone national park,246,vascular plant,white meadowfoam,
panicum rigidulum var. pubescens,yosemite national park,158,vascular plant,long-leaved panic grass,
salix humilis var. humilis,great smoky mountains national park,64,vascular plant,prairie willow,
hepatica nobilis,yellowstone national park,281,vascular plant,hepatica,
eriogonum nudum var. deductum,bryce national park,88,vascular plant,naked buckwheat,
penstemon procerus,great smoky mountains national park,67,vascular plant,"littleflower penstemon, pincushion beardtongue",
ericameria suffruticosa,yellowstone national park,254,vascular plant,"bighead goldenbush, singlehead goldenbush, single-head heath-goldenrod",
chasmanthium latifolium,yosemite national park,152,vascular plant,"broad-leaved spanglegrass, indian sea-oats",
sparganium emersum ssp. emersum,great smoky mountains national park,80,vascular plant,emersed bur-reed,
ribes rotundifolium,yosemite national park,147,vascular plant,"appalachian gooseberry, round-leaved currant",
pachysandra procumbens,yellowstone national park,213,vascular plant,american pachysandra,
helianthus annuus,yellowstone national park,265,vascular plant,common sunflower,
helianthus annuus,yellowstone national park,265,vascular plant,"annual sunflower, common sunflower, sunflower, wild sunflower",
blarina brevicauda,bryce national park,77,mammal,"northern short tailed shrew, northern short-tailed shrew",
polygonum viviparum,great smoky mountains national park,107,vascular plant,"alpine bistort, serpent-grass, viviparous bistort",
astragalus purshii var. purshii,yosemite national park,156,vascular plant,"pursh's milkvetch, pursh's milk-vetch, woollypod milkvetch",
orthocarpus luteus,great smoky mountains national park,47,vascular plant,"golden-tongue owl-clover, yellow owlclover, yellow owl's-clover",
liparis loeselii,yosemite national park,157,vascular plant,"fen orchid, fen orchis",
cornus canadensis,bryce national park,89,vascular plant,"bunchberry dogwood, canadian bunchberry",
arctostaphylos uva-ursi,yosemite national park,154,vascular plant,"bearberry, bearberry manzanita, kinnikinnick, mealberry",
isatis tinctoria,yosemite national park,127,vascular plant,dyer's woad,
eschscholzia hypecoides,bryce national park,106,vascular plant,san benito poppy,
tofieldia glabra,great smoky mountains national park,75,vascular plant,"smooth bog-asphodel, smooth tofieldia",species of concern
odocoileus virginianus,great smoky mountains national park,36,mammal,white-tailed deer,
odocoileus virginianus,great smoky mountains national park,36,mammal,"white-tailed deer, white-tailed deer",
galium pilosum var. puncticulosum,bryce national park,137,vascular plant,hairy bedstraw,
physaria didymocarpa var. didymocarpa,yellowstone national park,244,vascular plant,common twinpod,
thamnophis sirtalis sirtalis,great smoky mountains national park,63,reptile,common garter snake,
krigia montana,yellowstone national park,214,vascular plant,"false dandelion, mountain krigia",
puma concolor,bryce national park,92,mammal,panther (mountain lion),
puma concolor,bryce national park,92,mammal,"cougar, mountain lion, puma",
puma concolor,bryce national park,92,mammal,mountain lion,
sphaeralcea coccinea,bryce national park,108,vascular plant,"copper mallow, orange globemallow, red falsemallow, scarlet globemallow",
hypentelium nigricans,great smoky mountains national park,54,fish,northern hog sucker,
cryptantha affinis,bryce national park,105,vascular plant,"common cryptantha, quill cryptantha",
pellaea atropurpurea,bryce national park,115,vascular plant,"purple cliff-brake, purple-stem cliff-brake",
platanus occidentalis,great smoky mountains national park,98,vascular plant,sycamore,
plantago rugelii,yellowstone national park,223,vascular plant,"black-seed plantain, white man's footprint",
lewisia nevadensis,bryce national park,82,vascular plant,"nevada bitterroot, nevada bitter-root, nevada lewisia",
arenaria congesta var. subcongesta,great smoky mountains national park,90,vascular plant,"ballhead sandwort, loosehead sandwort",
calystegia sepium,yellowstone national park,218,vascular plant,hedge bindweed,
carex backii,great smoky mountains national park,58,vascular plant,"back's sedge, rocky mountain sedge",
betula nigra,bryce national park,106,vascular plant,river birch,
quercus,bryce national park,59,vascular plant,oak,
spiraea prunifolia,great smoky mountains national park,48,vascular plant,"bridal-wreath, spiraea",
andropogon glomeratus,bryce national park,65,vascular plant,"bushy bluestem, marsh broomsedge",
didymodon fallax var. reflexus,yellowstone national park,208,nonvascular plant,didymodon moss,
rhynchospora alba,bryce national park,88,vascular plant,white beaksedge,
accipiter cooperii,bryce national park,95,bird,cooper's hawk,species of concern
eurycea longicauda longicauda,yosemite national park,147,amphibian,longtail salamander,
scleria oligantha,great smoky mountains national park,70,vascular plant,"little-headed nutrush, nut-rush",
orthotrichum stellatum,great smoky mountains national park,71,nonvascular plant,stellate orthotrichum moss,
rhododendron maximum,bryce national park,100,vascular plant,"great laurel, rosebay rhododendron",
morus alba,great smoky mountains national park,49,vascular plant,white mulberry,
sambucus racemosa var. racemosa,great smoky mountains national park,77,vascular plant,"bunchberry elder, red elderberry",
nemacladus interior,bryce national park,100,vascular plant,sierra threadplant,
sphagnum subsecundum,great smoky mountains national park,73,nonvascular plant,sphagnum,
euphagus cyanocephalus,bryce national park,79,bird,brewer's blackbird,
